name,acc,auc,f1,lin,pearson
L,0.43089431524276733,0.7931392788887024,0.6870588064193726,0.2691985070705414,0.2687656283378601
L1,0.5203251838684082,0.8544698357582092,0.7200000286102295,0.29033517837524414,0.2898683249950409
L2,0.5447154641151428,0.8866943717002869,0.818823516368866,0.43217232823371887,0.431477427482605
Final,0.5853658318519592,0.9334719181060791,0.8444444537162781,0.5627214908599854,0.5618166923522949
RF,0.5203251838684082,0.8492723703384399,0.72062087059021,0.4074118435382843,0.40675675868988037
GB,0.5203251838684082,0.9334719181060791,0.8288043737411499,0.4826962649822235,0.4819200932979584
SVR,0.5203251838684082,0.939708948135376,0.8288043737411499,0.5413897633552551,0.5405192375183105
LSVR,0.39024388790130615,0.6704781651496887,0.6352631449699402,0.16805271804332733,0.1677825003862381
XGB,0.5040650367736816,0.9106029272079468,0.8133584856987,0.5100658535957336,0.5092455744743347
1,0.5853658318519592,0.9345114231109619,0.8253880143165588,0.5519821047782898,0.5510945320129395
4,0.5609756112098694,0.927234947681427,0.8444444537162781,0.5682856440544128,0.5673719048500061
0.1,0.6178861856460571,0.9106029272079468,0.8812280893325806,0.4842086732387543,0.48343008756637573
0.01,0.49593496322631836,0.8523908257484436,0.7904656529426575,0.33984729647636414,0.33930084109306335
10,0.5121951103210449,0.9158003926277161,0.8288043737411499,0.5658249258995056,0.5649150609970093
100,0.45528456568717957,0.8690228462219238,0.7794236540794373,0.5036821961402893,0.5028722882270813
No scaler,0.5609756112098694,0.9251559376716614,0.8342105150222778,0.5006188154220581,0.49981385469436646
Standard,0.5528455376625061,0.9022868871688843,0.8472933173179626,0.453857421875,0.4531276226043701
Control,0.6341463327407837,0.9158003926277161,0.8288043737411499,0.48524418473243713,0.4844639301300049
+APOE,0.6016260385513306,0.9147608876228333,0.8288043737411499,0.490802526473999,0.49001333117485046
"+APOE+Edu
+Age",0.6341463327407837,0.9480249285697937,0.8653846383094788,0.5940384268760681,0.5930832624435425
Right only,0.5934959053993225,0.9604989886283875,0.8288043737411499,0.583635687828064,0.5826972723007202
Both hemisphere,0.577235758304596,0.9459459185600281,0.8288043737411499,0.563825249671936,0.5629186630249023
L,0.39344263076782227,0.7120581865310669,0.657608687877655,0.33990952372550964,0.33718550205230713
L1,0.4098360538482666,0.765072762966156,0.7644230723381042,0.3186202943325043,0.3160668909549713
L2,0.4344262182712555,0.7567567825317383,0.7495361566543579,0.3584243655204773,0.35555198788642883
Final,0.46721312403678894,0.8274428248405457,0.7705239653587341,0.47210273146629333,0.468319296836853
RF,0.4590163826942444,0.8170478343963623,0.7495361566543579,0.44709891080856323,0.4435158669948578
GB,0.4836065471172333,0.8045738339424133,0.7753086686134338,0.44041988253593445,0.4368903636932373
SVR,0.41803279519081116,0.7941787838935852,0.7407407164573669,0.4642195999622345,0.4604993462562561
LSVR,0.3688524663448334,0.6590436697006226,0.6070685982704163,0.2246527075767517,0.22285233438014984
XGB,0.4344262182712555,0.8232848048210144,0.75,0.4468027651309967,0.4432221055030823
1,0.4590163826942444,0.82536381483078,0.809876561164856,0.47432586550712585,0.4705246388912201
4,0.4590163826942444,0.8066527843475342,0.7705239653587341,0.4689970910549164,0.4652385413646698
0.1,0.46721312403678894,0.8295218348503113,0.7454888224601746,0.44964495301246643,0.4460415244102478
0.01,0.4836065471172333,0.8014553189277649,0.7260869741439819,0.39579737186431885,0.39262545108795166
10,0.4836065471172333,0.7972972989082336,0.8011477589607239,0.46628427505493164,0.4625474810600281
100,0.4836065471172333,0.807692289352417,0.8011477589607239,0.45072421431541443,0.447112113237381
No scaler,0.44262295961380005,0.8648648858070374,0.8253880143165588,0.43884599208831787,0.4353291094303131
Standard,0.46721312403678894,0.8336798548698425,0.760326087474823,0.47292226552963257,0.46913227438926697
Control,0.49180328845977783,0.8295218348503113,0.7753086686134338,0.456567645072937,0.4529087245464325
+APOE,0.5081967115402222,0.837837815284729,0.7753086686134338,0.46329736709594727,0.459584504365921
"+APOE+Edu
+Age",0.4836065471172333,0.8762993812561035,0.7904656529426575,0.5454897284507751,0.5411182045936584
Right only,0.44262295961380005,0.82536381483078,0.7705239653587341,0.470519483089447,0.46674874424934387
Both hemisphere,0.46721312403678894,0.8180873394012451,0.7705239653587341,0.4730928838253021,0.4693015217781067
L,0.5245901346206665,0.8305613398551941,0.6843501329421997,0.11697027832269669,0.11601541191339493
L1,0.4262295067310333,0.8191268444061279,0.7407407164573669,0.40317314863204956,0.39988189935684204
L2,0.5,0.8513513803482056,0.8133584856987,0.40192103385925293,0.3986400365829468
Final,0.5491803288459778,0.9220374226570129,0.8288043737411499,0.6123183369636536,0.6073197722434998
RF,0.5655737519264221,0.9277547001838684,0.8497217297554016,0.564822256565094,0.5602114796638489
GB,0.5,0.9054054021835327,0.8058279752731323,0.5822651386260986,0.5775119066238403
SVR,0.5409836173057556,0.9365904331207275,0.8472933173179626,0.619365394115448,0.6143093109130859
LSVR,0.3442623019218445,0.6309771537780762,0.6211764812469482,0.20129399001598358,0.19965076446533203
XGB,0.4836065471172333,0.9158003926277161,0.8253880143165588,0.5591006875038147,0.5545365214347839
1,0.5737704634666443,0.9158003926277161,0.863043487071991,0.6005060076713562,0.5956039428710938
4,0.5409836173057556,0.9209979176521301,0.809876561164856,0.6197598576545715,0.6147005558013916
0.1,0.5491803288459778,0.9054054021835327,0.8812280893325806,0.5609729886054993,0.5563936233520508
0.01,0.5491803288459778,0.8918918967247009,0.7904656529426575,0.5368959903717041,0.5325131416320801
10,0.5737704634666443,0.9251559376716614,0.8288043737411499,0.6215485334396362,0.6164746284484863
100,0.5491803288459778,0.9261954426765442,0.8288043737411499,0.5926544070243835,0.5878163576126099
No scaler,0.5573770403862,0.9022868871688843,0.7794236540794373,0.6117368936538696,0.6067430973052979
Standard,0.49180328845977783,0.9251559376716614,0.8288043737411499,0.6050570011138916,0.6001177430152893
Control,0.5245901346206665,0.9241164326667786,0.8253880143165588,0.5896411538124084,0.584827721118927
+APOE,0.5573770403862,0.9553014636039734,0.8812280893325806,0.6059427857398987,0.6009963154792786
"+APOE+Edu
+Age",0.5573770403862,0.9324324131011963,0.863043487071991,0.629004716873169,0.6238699555397034
Right only,0.5163934230804443,0.9064449071884155,0.8472933173179626,0.5895199775695801,0.5847075581550598
Both hemisphere,0.5327869057655334,0.9085239171981812,0.8472933173179626,0.6045200824737549,0.5995851755142212
L,0.43801653385162354,0.8579059839248657,0.7430229187011719,0.44463735818862915,0.44232356548309326
L1,0.4876033067703247,0.932692289352417,0.8963210582733154,0.5075600147247314,0.5049187541007996
L2,0.5950413346290588,0.9529914259910583,0.8963210582733154,0.5119403004646301,0.509276270866394
Final,0.586776852607727,0.9081196784973145,0.8617614507675171,0.6341441869735718,0.630844235420227
RF,0.5041322112083435,0.8936966061592102,0.8397932648658752,0.5807059407234192,0.5776841044425964
